*****************************
Basic coeficients
*****************************
Alpha, Cd
  -16.00    ,    .1795E-01
  -13.71    ,    .1795E-01
  -11.43    ,    .1795E-01
  -9.140    ,    .1795E-01
  -6.860    ,    .1795E-01
  -4.570    ,    .1795E-01
  -2.290    ,    .1795E-01
   2.290    ,    .1795E-01
   4.570    ,    .1795E-01
   6.860    ,    .1795E-01
   9.140    ,    .1795E-01
   11.43    ,    .1795E-01
   13.71    ,    .1795E-01
   16.00    ,    .1795E-01
   .1000E-29,    .1795E-01

Alpha, CL
  -16.00    ,     .000    
  -13.71    ,     .000    
  -11.43    ,     .000    
  -9.140    ,     .000    
  -6.860    ,     .000    
  -4.570    ,     .000    
  -2.290    ,     .000    
   2.290    ,     .000    
   4.570    ,     .000    
   6.860    ,     .000    
   9.140    ,     .000    
   11.43    ,     .000    
   13.71    ,     .000    
   16.00    ,     .000    
   .1000E-29,     .000    

Alpha, Cm
  -16.00    ,     .000    
  -13.71    ,     .000    
  -11.43    ,     .000    
  -9.140    ,     .000    
  -6.860    ,     .000    
  -4.570    ,     .000    
  -2.290    ,     .000    
   2.290    ,     .000    
   4.570    ,     .000    
   6.860    ,     .000    
   9.140    ,     .000    
   11.43    ,     .000    
   13.71    ,     .000    
   16.00    ,     .000    
   .1000E-29,     .000    

Alpha, Cyb
  -16.00    ,     .000    
  -13.71    ,     .000    
  -11.43    ,     .000    
  -9.140    ,     .000    
  -6.860    ,     .000    
  -4.570    ,     .000    
  -2.290    ,     .000    
   2.290    ,     .000    
   4.570    ,     .000    
   6.860    ,     .000    
   9.140    ,     .000    
   11.43    ,     .000    
   13.71    ,     .000    
   16.00    ,     .000    
   .1000E-29,     .000    

Alpha, Cnb
  -16.00    ,     .000    
  -13.71    ,     .000    
  -11.43    ,     .000    
  -9.140    ,     .000    
  -6.860    ,     .000    
  -4.570    ,     .000    
  -2.290    ,     .000    
   2.290    ,     .000    
   4.570    ,     .000    
   6.860    ,     .000    
   9.140    ,     .000    
   11.43    ,     .000    
   13.71    ,     .000    
   16.00    ,     .000    
   .1000E-29,     .000    

Alpha, Clb
  -16.00    ,     .000    
  -13.71    ,     .000    
  -11.43    ,     .000    
  -9.140    ,     .000    
  -6.860    ,     .000    
  -4.570    ,     .000    
  -2.290    ,     .000    
   2.290    ,     .000    
   4.570    ,     .000    
   6.860    ,     .000    
   9.140    ,     .000    
   11.43    ,     .000    
   13.71    ,     .000    
   16.00    ,     .000    
   .1000E-29,     .000    

Alpha, Q_Qinf
  -16.00    ,    .9658    
  -13.71    ,   -.1000E-29
  -11.43    ,   -.1000E-29
  -9.140    ,   -.1000E-29
  -6.860    ,   -.1000E-29
  -4.570    ,   -.1000E-29
  -2.290    ,   -.1000E-29
   2.290    ,   -.1000E-29
   4.570    ,   -.1000E-29
   6.860    ,   -.1000E-29
   9.140    ,   -.1000E-29
   11.43    ,   -.1000E-29
   13.71    ,   -.1000E-29
   16.00    ,   -.1000E-29
   .1000E-29,   -.1000E-29

Alpha, Epslon
  -16.00    ,     .000    
  -13.71    ,   -.1000E-29
  -11.43    ,   -.1000E-29
  -9.140    ,   -.1000E-29
  -6.860    ,   -.1000E-29
  -4.570    ,   -.1000E-29
